"GBSid","PH","LW","FT"
1597,113.4,32.8,37
3070,137.4,41.68,61
741,139.3,16.36363636,61
4403,163.2,27.8,55
1418,173,32.8,54
3776,146.6,26.46,57
386,142.4,25.8,52
122,192,23.6,60
3597,143.6,27.66,55
2806,99.4,16.6,68
1978,148.2,17.42777778,58
4770,190,31,61
425,155.2,29.6,60
812,184,21,74
1276,144,25.1,57
5925,164.8,35.8,57
2901,168.6,22.98,61
469,179.4,33.25333333,71
4221,135.8,30.8,67
3398,171.4,16.3,59
762,92.4,20.7,46
5318,167.5,28.3,63
3019,150,37.5,59
3045,125,27.8,65
3539,31,13.3,30
4544,200.6,30,68
4346,142,29.57,62
4815,170.4,24.4,61
2307,178.6,35.1,59
5484,138.2,7,67
2609,89.8,37.9,47
1551,147.6,36.64,51
1965,169.78,28.06,59
1997,148.8,32.8,71
2290,153.2,35.35,60
2679,117.5,10.8,92
2094,184.44,26.18,63
3697,161.2,30.1,61
2640,121,12.1,61
396,104.4,27.8,61
3111,139.9,34.68,49
239,132.2,29.6,50
824,149.4,15.2,56
3589,175.78,31.9,62
3161,158,40.3,52
3684,186.2,35,56
3959,133,25,56
39,125.042,19.47,55
2096,177.72,26.4,64
5702,117.4,24.2,102
609,155,22.5,52
377,168.3,30.7,57
4005,151.8,10.2,60
794,140.6,18.5,103
5628,103,27.8,68
2778,114,21.3,62
3153,154,30.7,47
607,133,19.7,52
409,151.2,26.34,59
1629,84,12.8,59
5928,123,26.9,59
3056,128.9,40.3,63
203,158,30.2,56
5167,111.4,33.86,61
1329,125.34,24.84,55
1677,138,18.5,70
4373,145.09,26.3,65
4632,151.6,28.3,61
4817,136.4,38.3,61
2932,102.2,26.8,74
4825,170.4,33,65
2969,97.9,31.82,54
5264,205.3,22.4,68
5301,151.3,13.1,64
5999,192.35,26.9,50
457,195.5,34.5,87
4591,180.6,31.8,61
333,82.4,26.8,44
1835,116,25.7,52
777,123.4,20.2,59
3022,154.4,23.26,46
